Date,Customer_ID,Transaction_ID,SKU_Category,SKU,Quantity,Sales_Amount,Unit_price,Avg_price,price_range,unique_prices
02/01/2016,3686,3,0H2,CZUZX,1.0,6.35,6.35,6.251086956521739,6.535,13
02/01/2016,3874,15,FEW,F79YP,1.0,16.91,16.91,8.924444444444445,4.029999999999999,8
02/01/2016,9223,17,Q4N,EGB8E,1.0,10.5,10.5,13.373750000000001,5.01,11
02/01/2016,6294,19,C8Z,520UE,1.0,9.06,9.06,11.745000000000001,5.463333333333335,17
02/01/2016,2116,21,2ML,3483Q,1.0,7.29,7.29,6.173333333333333,7.41,8
02/01/2016,4022,34,0H2,CZUZX,1.0,6.35,6.35,6.251086956521739,6.535,13
02/01/2016,4022,34,0H2,LQ555,1.0,7.57,7.57,6.251086956521739,8.440000000000001,7
02/01/2016,6179,36,QV7,FZM7U,1.0,8.62,8.62,8.62,6.665,72
02/01/2016,1655,39,N5F,AEKO3,1.0,18.63,18.63,9.906666666666666,4.079999999999998,5
02/01/2016,824,45,Z4O,GID11,1.0,30.0,30.0,16.0,5.830000000000002,5
02/01/2016,4414,55,FEW,SANGZ,1.0,9.38,9.38,8.924444444444445,4.700000000000001,8
02/01/2016,3992,64,2O0,UCK6F,2.0,11.18,5.59,5.59,6.789999999999999,13
02/01/2016,1725,86,2O0,UCK6F,2.0,11.18,5.59,5.59,6.789999999999999,13
02/01/2016,6994,88,Q4N,11H2S,1.0,19.0,19.0,13.373750000000001,12.57,18
02/01/2016,427,91,Q4N,LKDTY,1.0,8.69,8.69,13.373750000000001,4.93,10
02/01/2016,4803,97,29A,PO1N6,1.0,7.44,7.44,6.585,6.64,18
02/01/2016,5948,102,Q4N,967JZ,1.0,10.56,10.56,13.373750000000001,6.89,20
02/01/2016,6848,104,R6E,DUV2Y,1.0,7.81,7.81,5.831250000000001,4.070000000000001,18
02/01/2016,1585,105,0H2,LQ555,1.0,7.57,7.57,6.251086956521739,8.440000000000001,7
03/01/2016,1894,168,Q4N,967JZ,1.0,10.56,10.56,6.62,6.89,20
